"","var_name","var_desc","var_type","class"
"248","cv010_29","Highest level of education - 29th  household member ",0,"numeric"
"249","cv010_30","Highest level of education - 30th  household member ",0,"numeric"
"250","cv010_31","Highest level of education - 31st  household member ",0,"numeric"
"251","cv010_32","Highest level of education - 32nd  household member ",0,"numeric"
"252","cv010_33","Highest level of education - 33rd  household member ",0,"numeric"
"253","cv010_34","Highest level of education - 34th  household member ",0,"numeric"
"254","cv010_35","Highest level of education - 35th  household member ",0,"numeric"
"255","cv011_1","Marital status of 1st  household member",0,"numeric"
"256","cv011_2","Marital status of 2nd  household member",0,"numeric"
"257","cv011_3","Marital status of 3rd  household member",0,"numeric"
"258","cv011_4","Marital status of 4th  household member",0,"numeric"
"259","cv011_5","Marital status of 5th  household member",0,"numeric"
"260","cv011_6","Marital status of 6th  household member",0,"numeric"
"261","cv011_7","Marital status of 7th  household member",0,"numeric"
"262","cv011_8","Marital status of 8th  household member",0,"numeric"
"263","cv011_9","Marital status of 9th  household member",0,"numeric"
"264","cv011_10","Marital status of 10th  household member ",0,"numeric"
"265","cv011_11","Marital status of 11th  household member ",0,"numeric"
"266","cv011_12","Marital status of 12th  household member ",0,"numeric"
"267","cv011_13","Marital status of 13th  household member ",0,"numeric"
"268","cv011_14","Marital status of 14th  household member ",0,"numeric"
"269","cv011_15","Marital status of 15th  household member ",0,"numeric"
"270","cv011_16","Marital status of 16th  household member ",0,"numeric"
"271","cv011_17","Marital status of 17th  household member ",0,"numeric"
"272","cv011_18","Marital status of 18th  household member ",0,"numeric"
"273","cv011_19","Marital status of 19th  household member ",0,"numeric"
"274","cv011_20","Marital status of 20th  household member ",0,"numeric"
"275","cv011_21","Marital status of 21st  household member ",0,"numeric"
"276","cv011_22","Marital status of 22nd  household member ",0,"numeric"
"277","cv011_23","Marital status of 23rd  household member ",0,"numeric"
"278","cv011_24","Marital status of 24th  household member ",0,"numeric"
"279","cv011_25","Marital status of 25th  household member ",0,"numeric"
"280","cv011_26","Marital status of 26th  household member ",0,"numeric"
"281","cv011_27","Marital status of 27th  household member ",0,"numeric"
"282","cv011_28","Marital status of 28th  household member ",0,"numeric"
"283","cv011_29","Marital status of 29th  household member ",0,"numeric"
"284","cv011_30","Marital status of 30th  household member ",0,"numeric"
"285","cv011_31","Marital status of 31st  household member ",0,"numeric"
"286","cv011_32","Marital status of 32nd  household member ",0,"numeric"
"287","cv011_33","Marital status of 33rd  household member ",0,"numeric"
"288","cv011_34","Marital status of 34th  household member ",0,"numeric"
"289","cv011_35","Marital status of 35th  household member ",0,"numeric"
"290","cv012_1","Whether spouse living in HH or not - 1st  hhmember",0,"numeric"
"291","cv012_2","Whether spouse living in HH or not - 2nd  hhmember",0,"numeric"
"292","cv012_3","Whether spouse living in HH or not - 3rd  hhmember",0,"numeric"
"293","cv012_4","Whether spouse living in HH or not - 4th  hhmember",0,"numeric"
"294","cv012_5","Whether spouse living in HH or not - 5th  hhmember",0,"numeric"
"295","cv012_6","Whether spouse living in HH or not - 6th  hhmember",0,"numeric"
"296","cv012_7","Whether spouse living in HH or not - 7th  hhmember",0,"numeric"
"297","cv012_8","Whether spouse living in HH or not - 8th  hhmember",0,"numeric"
"298","cv012_9","Whether spouse living in HH or not - 9th  hhmember",0,"numeric"
"299","cv012_10","Whether spouse living in HH or not - 10th  hhmember ",0,"numeric"
"300","cv012_11","Whether spouse living in HH or not - 11th  hhmember ",0,"numeric"
"301","cv012_12","Whether spouse living in HH or not - 12th  hhmember ",0,"numeric"
"302","cv012_13","Whether spouse living in HH or not - 13th  hhmember ",0,"numeric"
"303","cv012_14","Whether spouse living in HH or not - 14th  hhmember ",0,"numeric"
"304","cv012_15","Whether spouse living in HH or not - 15th  hhmember ",0,"numeric"
"305","cv012_16","Whether spouse living in HH or not - 16th  hhmember ",0,"numeric"
"306","cv012_17","Whether spouse living in HH or not - 17th  hhmember ",0,"numeric"
"307","cv012_18","Whether spouse living in HH or not - 18th  hhmember ",0,"numeric"
"308","cv012_19","Whether spouse living in HH or not - 19th  hhmember ",0,"numeric"
